COD	EPS
CCF023	CAJA DE COMPENSACIÓN FAMILIAR DE LA GUAJIRA "COMFAGUAJIRA"
CCF024	CAJA DE COMPENSACIÓN FAMILIAR DEL HUILA "COMFAMILIAR"
CCF027	CAJA DE COMPENSACIÓN FAMILIAR DE NARIÑO
CCF033	CAJA DE COMPENSACIÓN FAMILIAR DE SUCRE
CCF050	CAJA DE COMPENSACIÓN FAMILIAR DEL ORIENTE COLOMBIANO"COMFAORIENTE"
CCF053	CAJA DE COMPENSACIÓN FAMILIAR DE CUNDINAMARCA "COMFACUNDI"
CCF055	CAJA DE COMPENSACIÓN FAMILIAR CAJACOPI ATLÁNTICO
CCF102	CAJA DE COMPENSACIÓN FAMILIAR DEL CHOCÓ
EPS022	ENTIDAD PROMOTORA DE SALUD DEL REGIMEN SUBSIDIADO EPS CONVIDA
EPS025	CAPRESOCA E.P.S.
EPSI01	ASOCIACIÓN DE CABILDOS INDÍGENAS DEL CESAR Y GUAJIRA "DUSAKAWI A.R.S.I."
EPSI03	ASOCIACIÓN INDÍGENA DEL CAUCA A.I.C. EPSI
EPSI04	EMPRESA PROMOTORA DE SALUD INDÍGENA ANAS WAYUU EPSI
EPSI05	ENTIDAD PROMOTORA DE SALUD MALLAMAS EPSI
EPSI06	PIJAOS SALUD EPSI
EPSS01	ALIANSALUD EPS S.A. -CM
EPSS02	SALUD TOTAL ENTIDAD PROMOTORA DE SALUD DEL REGIMEN CONTRIBUTIVO Y DEL REGIMEN SUBSIDIADO S.A. -CM
EPSS05	ENTIDAD PROMOTORA DE SALUD SANITAS S.A.S. -CM
EPSS08	CAJA DE COMPENSACIÓN FAMILIAR COMPENSAR -CM
EPSS10	EPS SURAMERICANA S.A. -CM
EPSS12	CAJA DE COMPENSACION FAMILIAR DEL VALLE DEL CAUCA "COMFENALCO VALLE DE LA GENTE" -CM
EPSS16	COOMEVA ENTIDAD PROMOTORA DE SALUD S.A. "COOMEVA E.P.S. S.A." -CM
EPSS17	EPS FAMISANAR S.A.S. -CM
EPSS18	ENTIDAD PROMOTORA DE SALUD SERVICIO OCCIDENTAL DE SALUD S.A. S.O.S. -CM
EPSS34	CAPITAL SALUD ENTIDAD PROMOTORA DE SALUD DEL RÉGIMEN SUBSIDIADO SAS "CAPITAL SALUD EPS-S S.A.S."
EPSS37	NUEVA EPS S.A. -CM
EPSS40	ALIANZA MEDELLIN ANTIOQUIA EPS S.A.S. "SAVIA SALUD EPS"
EPSS41	NUEVA EPS S.A.
EPSS42	COOSALUD EPS S.A. -CM
EPSS44	MEDIMAS EPS S.A.S. -CM
EPSS45	MEDIMAS EPS S.A.S.
EPSS46	FUDACIÓN SALUD MIA -CM
EPSS48	ASOCIACION MUTUAL SER EMPRESA SOLIDARIA DE SALUD ENTIDAD PROMOTORA DE SALUD - MUTUAL SER EPS -CM
ESS024	COOSALUD EPS S.A.
ESS062	ASMET SALUD EPS S.A.S.
ESS076	ASOCIACIÓN MUTUAL BARRIOS UNIDOS DE QUIBDO AMBUQ EPS - S - ESS
ESS091	ECOOPSOS EPS SAS
ESS118	EMSSANAR S.A.S.
ESS133	COOPERATIVA DE SALUD COMUNITARIA EMPRESA PROMOTORA SUBSIDIADA"COMPARTA EPS-S"
ESS207	ASOCIACION MUTUAL SER EMPRESA SOLIDARIA DE SALUD ENTIDADPROMOTORA DE SALUD - MUTUAL SER EPS
FMS001	FUERZAS MILITARES
POL001	POLICIA NACIONAL
RES002	ECOPETROL
RES004	MAGISTERIO
RES005	UNIVERSIDAD DEL ATLANTICO
RES006	UNIVERSIDAD INDUSTRIAL DE SANTANDER
RES007	UNIVERSIDAD DEL VALLE
RES008	UNIVERSIDAD NACIONAL DE COLOMBIA
RES009	UNIVERSIDAD DEL CAUCA
RES010	UNIVERSIDAD DE CARTAGENA
RES011	UNIVERSIDAD DE ANTIOQUIA
RES012	UNIVERSIDAD DE CORDOBA
RES013	UNIVERSIDAD DE NARIÑO
RES014	UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC
EMP002	MEDPLUS MEDICINA PREPAGADA S.A.
EMP012	HUMANA GOLDEN CROSS S.A. MEDICINA PREPAGADA
EMP014	MEDISALUD - COMPAÑÍA COLOMBIANA DE MEDICINA PREPAGADA S.A.(en liquidación)
EMP015	MEDISANITAS S A COMPAÑIA DE MEDICINA PREPAGADA
EMP017	COLMEDICA MEDICINA PREPAGADA
EMP021	EPS Y MEDICINA PREPAGADA SURAMERICANA S.A.
EMP022	VIVIR S.A.
EMP023	COMPAÑIA DE MEDICINA PREPAGADA COLSANITAS S.A.
EMP024	SERVICIO DE SALUD INMEDIATO MEDICINA PREPAGADA S.A.
EMP025	PLAN U.H.C.M. MEDICINA PREPAGADA COMFENALCO VALLE
EMP028	COOMEVA MEDICINA PREPAGADA S.A.
EMP029	COLPATRIA MEDICINA PREPAGADA S.A.
SAP008	EMERGENCIA MEDICA INTEGRAL COLOMBIA S.A.
SAP026	EMERMEDICA S.A. SERVICIOS DE AMBULANCIA PREPAGADOS
SAP030	EMPRESA DE MEDICINA INTEGRAL EMI SA SERVICIO DE AMBULANCIAPREPAGADA
SAP031	ASISTENCIA MEDICA INMEDIATA-SERVICIO DE AMBULANCIA PREPAGADAS.A.
SAP032	SERVICIO DE EMERGENCIAS REGIONAL (SERVICIO DE AMBULANCIAPREPAGADO) S.A.
SAP033	COOMEVA EMERGENCIAS MÉDICAS
SAP034	ASISTENCIA MEDICA SAS SERVICIO DE AMBULANCIA PREPAGADO
SAP035	SERVICIO DE ASISTENCIA MEDICA INMEDIATA S.A. - SERVICIO DEAMBULANCIA PREPAGADO
SAP036	SISTEMA DE TRASLADO APOYO DIAGNOSTICO Y TERAPEUTICO EN SALUDTRASMEDICA S.A. S.A.P. EN LIQUIDACION
SAP037	SERVICIOS MEDICOS INTEGRALES DE COLOMBIA SERVICIO DEAMBULANCIAS PREPAGADO S.A.S “SEMI SAP S.A.S.”
SAP038	RED MEDICA MÉDICA VITAL S.A.S. SERVICIO DE AMBULANCIA PREPAGADO(SAP)
EPS023	CRUZ BLANCA EPS
